Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050201;"Utgått: §4.2)Slam fra behandling av tilførselsvann til kjeler";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050202;"Utgått: §4.2)Avfall fra kjølekolonner";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050299;"Utgått: §4.2)Annet ikke spesifisert avfall";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0503;"UTGÅTT: BRUKTE KATALYSATORER";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050301;"Utgått: §4.2)Brukte katalysatorer med edelmetaller";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050302;"Utgått: Andre brukte katalysatorer (som inneholder tungmetaller)";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0504;"UTGÅTT: BRUKTE FILTRERINGSLEIRER";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050401;"Utgått: Brukte filtreringsleirer";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0505;"UTGÅTT: AVFALL FRA AVSVOVLING AV OLJE";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050501;"Utgått: §4.2)Svovelholdig avfall";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050599;"Utgått: §4.2)Annet ikke spesifisert avfall";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0506;"Avfall fra pyrolytisk behandling av kull";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050601;"Syreholdig tjære";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050602;"Utgått: §4.2)Asfalt";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050603;"Annen tjære";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050604;"Avfall fra kjølekolonner";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050699;"Avfall som ikke er spesifisert andre steder";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0507;"Avfall fra rensing og transport av naturgass";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050701;"Kvikksølvholdig avfall";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050702;"Svovelholdig avfall";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050799;"Avfall som ikke er spesifisert andre steder";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0508;"UTGÅTT: AVFALL FRA OLJEREGENERERING";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050801;"Utgått: Brukte filtreringsleirer";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;050802;"Utgått: Syreholdig tjære";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
